State/UT,Month,2019,2018,2017,2016,2015,percentage2019,percentage2018,percentage2017,percentage2016,percentage2015,Monthly_visitors2019,Monthly_visitors2018,Monthly_visitors2017,Monthly_visitors2016,Monthly_visitors2015
Haryana,September,751513,719894,719964,608177,542600,0.15,0.26,0.72,1.34,1.3,1127.2694999999999,1871.7244,5183.7408,8149.571800000001,7053.8
Haryana,October,945017,890223,866976,741770,683286,0.15,0.26,0.72,1.34,1.3,1417.5255,2314.5798,6242.227199999999,9939.718,8882.718
Haryana,November,1092440,1012569,997738,878280,815947,0.15,0.26,0.72,1.34,1.3,1638.66,2632.6794,7183.7136,11768.952000000001,10607.311000000002
Haryana,December,1226398,1191498,1167840,1021375,912723,0.15,0.26,0.72,1.34,1.3,1839.5969999999998,3097.8948000000005,8408.447999999999,13686.425,11865.399000000001
Himachal Pradesh  ,January,1111040,1045027,964109,844533,790854,1.22,1.23,1.75,1.83,1.74,13554.688,12853.8321,16871.9075,15454.9539,13760.8596
Himachal Pradesh  ,February,1090516,1049259,931025,848782,761007,1.22,1.23,1.75,1.83,1.74,13304.2952,12905.8857,16292.9375,15532.7106,13241.521799999999
Himachal Pradesh  ,March,978236,1021539,885936,809107,729154,1.22,1.23,1.75,1.83,1.74,11934.4792,12564.9297,15503.88,14806.6581,12687.2796
Himachal Pradesh  ,April,774651,745033,717899,592004,541551,1.22,1.23,1.75,1.83,1.74,9450.7422,9163.9059,12563.2325,10833.673200000001,9422.9874
Himachal Pradesh  ,May,615136,606513,622408,527466,509869,1.22,1.23,1.75,1.83,1.74,7504.659199999999,7460.1098999999995,10892.14,9652.6278,8871.720599999999
Himachal Pradesh  ,June,726446,683935,663470,546972,512341,1.22,1.23,1.75,1.83,1.74,8862.6412,8412.4005,11610.725,10009.5876,8914.7334
Himachal Pradesh  ,July,818125,806493,779309,733834,628323,1.22,1.23,1.75,1.83,1.74,9981.125,9919.8639,13637.9075,13429.162199999999,10932.8202
Himachal Pradesh  ,August,800837,785993,719129,652111,599478,1.22,1.23,1.75,1.83,1.74,9770.2114,9667.7139,12584.7575,11933.631300000001,10430.9172
Himachal Pradesh  ,September,751513,719894,719964,608177,542600,1.22,1.23,1.75,1.83,1.74,9168.4586,8854.6962,12599.37,11129.639100000002,9441.24
Himachal Pradesh  ,October,945017,890223,866976,741770,683286,1.22,1.23,1.75,1.83,1.74,11529.2074,10949.742900000001,15172.08,13574.391000000001,11889.176399999998
Himachal Pradesh  ,November,1092440,1012569,997738,878280,815947,1.22,1.23,1.75,1.83,1.74,13327.768,12454.598699999999,17460.415,16072.524000000001,14197.4778
Himachal Pradesh  ,December,1226398,1191498,1167840,1021375,912723,1.22,1.23,1.75,1.83,1.74,14962.0556,14655.4254,20437.2,18691.1625,15881.3802
Jharkhand,January,1111040,1045027,964109,844533,790854,0.56,0.61,0.64,0.69,0.72,6221.8240000000005,6374.664699999999,6170.2976,5827.277699999999,5694.1488
