Temperature,Humidity,Wind Speed,Pressure,Precipitation,State,Month,Year,RainFall,Visitors
37.4,41.73333333,14.06666667,29.479,1.0,bihar,june,2015,123.8,20288.7036
33.35483871,61.90322581,14.67741935,29.48451613,3.503225806,bihar,july,2015,231.3,24881.5908
32.77419355,64.16129032,12.09677419,29.56193548,1.774193548,bihar,august,2015,288.3,23739.3288
32.0,60.8,10.63333333,29.654,1.716666667,bihar,september,2015,101.7,21486.96
29.58064516,52.06451613,7.064516129,29.83935484,0.122580645,bihar,october,2015,8.9,27058.1256
27.06666667,42.63333333,7.033333333,29.916,0.026666667,bihar,november,2015,0.0,32311.5012
22.22580645,44.67741935,7.774193548,30.00193548,0.016129032,bihar,december,2015,0.0,36143.8308
13.41935484,50.48387097,7.129032258,30.09483871,0.325806452,chandigarh,january,2015,45.2,1028.1102
18.32142857,48.46428571,7.571428571,30.01285714,0.607142857,chandigarh,february,2015,46.7,989.3091
21.67741935,47.32258065,9.419354839,29.96322581,1.838709677,chandigarh,march,2015,119.9,947.9002
28.83333333,33.43333333,9.6,29.82666667,0.5,chandigarh,april,2015,21.6,704.0163
35.12903226,19.41935484,9.64516129,29.7216129,0.119354839,chandigarh,may,2015,17.4,662.8297
34.96666667,31.2,9.066666667,29.623,1.073333333,chandigarh,june,2015,63.9,666.0433
31.51612903,62.51612903,7.419354839,29.59483871,4.964516129,chandigarh,july,2015,257.9,816.8199000000001
30.35483871,67.90322581,7.290322581,29.67322581,2.996774194,chandigarh,august,2015,109.2,779.3214
29.13333333,51.63333333,7.733333333,29.77966667,1.966666667,chandigarh,september,2015,117.3,705.38
26.19354839,35.77419355,6.838709677,29.9483871,0.016129032,chandigarh,october,2015,17.7,888.2718000000001
21.5,38.06666667,6.4,30.017,0.076666667,chandigarh,november,2015,0.2,1060.7311
16.03225806,35.5483871,6.903225806,30.06580645,0.135483871,chandigarh,december,2015,0.3,1186.5399
21.87096774,44.0,6.838709677,30.00677419,0.080645161,chhattisgarh,january,2015,15.6,237.2562
26.96428571,31.57142857,6.607142857,29.94678571,0.017857143,chhattisgarh,february,2015,0.9,228.3021
30.74193548,30.41935484,8.451612903,29.88580645,0.287096774,chhattisgarh,march,2015,20.5,218.7462
35.76666667,27.86666667,11.76666667,29.754,0.11,chhattisgarh,april,2015,36.7,162.46529999999998
39.4516129,23.19354839,11.83870968,29.64903226,0.922580645,chhattisgarh,may,2015,13.6,152.9607
33.83333333,52.53333333,13.96666667,29.582,4.793333333,chhattisgarh,june,2015,274.3,153.7023
30.51612903,66.51612903,16.25806452,29.59967742,3.158064516,chhattisgarh,july,2015,249.5,188.4969
29.83870968,73.12903226,12.64516129,29.65193548,2.75483871,chhattisgarh,august,2015,287.8,179.8434
29.56666667,68.36666667,8.2,29.72666667,2.256666667,chhattisgarh,september,2015,216.9,162.78
28.77419355,52.77419355,6.870967742,29.87193548,0.203225806,chhattisgarh,october,2015,18.0,204.9858
26.6,48.9,7.533333333,29.937,0.026666667,chhattisgarh,november,2015,0.6,244.7841
23.87096774,48.58064516,6.709677419,29.98645161,0.212903226,chhattisgarh,december,2015,1.5,273.8169
